n	k	theme	recipient	pref	lower	upper
n = 3	k = 3	long	short	6.682239627112465	6.576644840726074	6.787834413498857
n = 3	k = 3	long	long	7.082532877242273	6.952026505040797	7.213039249443749
n = 4	k = 3	short	short	0.0	-4.30092274695145e-17	4.30092274695145e-17
n = 4	k = 3	short	long	-0.5423533749350962	-0.6228560339544543	-0.46185071591573795
n = 4	k = 3	long	short	1.1350000000000007	1.0852277112912556	1.1847722887087457
n = 4	k = 3	long	long	0.5926466250649045	0.49879992813827667	0.6864933219915323
n = 5	k = 3	short	short	8.881784197001253e-18	-4.9339748409831906e-17	6.710331680383441e-17
n = 5	k = 3	short	long	-0.9899999999999994	-1.0039087595520075	-0.9760912404479913
n = 5	k = 3	long	short	0.9999999999999994	0.9999999999999993	0.9999999999999996
n = 5	k = 3	long	long	0.010000000000000026	-0.003908759552008029	0.02390875955200808
n = 6	k = 3	short	short	0.0	0.0	0.0
n = 6	k = 3	short	long	-1.0	-1.0	-1.0
n = 6	k = 3	long	short	1.0	1.0	1.0
n = 6	k = 3	long	long	0.0	0.0	0.0
