n	k	theme	recipient	pref	lower	upper
n = 1	k = 2	long	long	-0.0003418354420093922	-0.0009723451572179733	0.00028867427319918885
n = 2	k = 2	short	short	-0.018749110698699896	-0.08944774479524348	0.05194952339784369
n = 2	k = 2	short	long	0.17827091228961947	0.10021959552493692	0.256322229054302
n = 2	k = 2	long	short	-0.2141286114454269	-0.2885558375197119	-0.13970138537114182
n = 2	k = 2	long	long	0.043538725078106126	-0.10550110126807802	0.19257855142429028
n = 3	k = 2	short	short	-0.00015765601725820487	-0.07620584014897698	0.07589052811446058
n = 3	k = 2	short	long	1.8985509448812061	1.8248634618044683	1.972238427957944
n = 3	k = 2	long	short	-1.9096559284072867	-1.984262601484995	-1.8350492553295785
n = 3	k = 2	long	long	0.084084880762485	-0.0684638053332116	0.2366335668581816
n = 4	k = 2	short	short	-0.00850357166219078	-0.06371773397813855	0.04671059065375699
n = 4	k = 2	short	long	0.9554974338440113	0.8664507526633748	1.0445441150246477
n = 4	k = 2	long	short	-0.8583923915563364	-0.9516183950158188	-0.765166388096854
n = 4	k = 2	long	long	0.1688627693208856	3.01391813364027e-05	0.3376953994604348
n = 5	k = 2	short	short	0.042949952189042774	-0.015033637643712024	0.10093354202179758
n = 5	k = 2	short	long	0.30725527972356537	0.22486655473818298	0.3896440047089478
n = 5	k = 2	long	short	-0.33898752459499454	-0.42212646603383064	-0.25584858315615844
n = 5	k = 2	long	long	0.08022958094063296	-0.09963531385776178	0.26009447573902766
n = 6	k = 2	short	short	0.00099035693111324	-0.07566842977026439	0.07764914363249087
n = 6	k = 2	short	long	-0.188439430941764	-0.27616802870934276	-0.10071083317418525
n = 6	k = 2	long	short	0.19102745323089015	0.10456113355506483	0.2774937729067155
n = 6	k = 2	long	long	0.0192540258995207	-0.16552184080812735	0.20402989260716872
n = 7	k = 2	short	short	-0.034671523660983423	-0.11022963476400466	0.04088658744203782
n = 7	k = 2	short	long	-0.11153670312021471	-0.22506040731715865	0.001987001076729236
n = 7	k = 2	long	short	0.1454642741355818	0.021618936859974153	0.2693096114111895
n = 7	k = 2	long	long	0.11646666833051586	-0.095156511549984	0.3280898482110157
n = 8	k = 2	short	short	0.05328160330673566	-0.006250929287223213	0.11281413590069453
n = 8	k = 2	short	long	1.4768960149850852	1.350312410142929	1.6034796198272414
n = 8	k = 2	long	short	-1.450633981606751	-1.575144786183651	-1.3261231770298512
n = 8	k = 2	long	long	-0.14043116319973944	-0.34760243606321645	0.06674010966373756
n = 1	k = 3	short	short	0.000208727799140042	-0.001839729831278637	0.002257185429558721
n = 1	k = 3	short	long	0.0002087286344400278	-0.0018397290042144244	0.00225718627309448
n = 1	k = 3	long	short	0.0002087286344400278	-0.0018397290042144244	0.00225718627309448
n = 1	k = 3	long	long	0.0002087286344400278	-0.0018397290042144244	0.00225718627309448
n = 2	k = 3	short	short	0.01180255591867207	-0.02321707194517244	0.046822183782516576
n = 2	k = 3	short	long	0.004996117979266522	-0.03199582617945394	0.04198806213798699
n = 2	k = 3	long	short	-0.0029464312792040134	-0.039868287050111584	0.03397542449170356
n = 2	k = 3	long	long	0.02757391265032493	-0.05855002174273012	0.11369784704337997
n = 3	k = 3	short	short	-8.024447964155001e-05	-0.031567815186671	0.0314073262273879
n = 3	k = 3	short	long	0.22623059446964888	0.1725402969908656	0.27992089194843217
n = 3	k = 3	long	short	-0.21518499396404384	-0.2689043803149511	-0.16146560761313658
n = 3	k = 3	long	long	0.12347059568762779	-0.04899673674930345	0.29593792812455905
n = 4	k = 3	short	short	0.0011249132518560145	-0.030282450655177248	0.032532277158889275
n = 4	k = 3	short	long	-0.5369133429776191	-0.6057674880698263	-0.46805919788541184
n = 4	k = 3	long	short	0.5429508253664987	0.474061407035179	0.6118402436978185
n = 4	k = 3	long	long	0.10416850984096528	-0.09103609958705579	0.29937311926898635
n = 5	k = 3	short	short	0.005526343865471901	-0.05656054691926983	0.06761323465021363
n = 5	k = 3	short	long	0.7369281285859746	0.5670802320321389	0.9067760251398103
n = 5	k = 3	long	short	-0.5401246135240835	-0.7058668362080809	-0.3743823908400861
n = 5	k = 3	long	long	0.1375252269924787	-0.08516753360954607	0.3602179875945035
n = 6	k = 3	short	short	-0.012773260183690582	-0.0591405039077324	0.03359398354035123
n = 6	k = 3	short	long	0.1065853855876872	0.012901412785662106	0.20026935838971227
n = 6	k = 3	long	short	-0.07545212696374998	-0.16749641175266153	0.016592157825161574
n = 6	k = 3	long	long	0.07082166161581842	-0.13697500283907338	0.2786183260707102
n = 7	k = 3	short	short	-0.05570210013670129	-0.13893932961679628	0.0275351293433937
n = 7	k = 3	short	long	-0.49450994473269266	-0.5993729446523217	-0.38964694481306356
n = 7	k = 3	long	short	0.47659906276850517	0.367846183793027	0.5853519417439833
n = 7	k = 3	long	long	0.02525277544884854	-0.19547053970798667	0.24597609060568376
n = 8	k = 3	short	short	0.011529894851253587	-0.10773045003833442	0.13079023974084159
n = 8	k = 3	short	long	0.9263389521904958	0.7663121477423704	1.0863657566386211
n = 8	k = 3	long	short	-1.1110712435783312	-1.2652379437794907	-0.9569045433771717
n = 8	k = 3	long	long	-0.20574006479929394	-0.47252029741354706	0.06104016781495922
n = 1	k = 4	short	short	0.0035507385782265854	-0.010987195717547768	0.018088672874000938
n = 1	k = 4	short	long	0.003550743828672129	-0.010987190464218411	0.01808867812156267
n = 1	k = 4	long	short	0.003550743828672129	-0.010987190464218411	0.01808867812156267
n = 1	k = 4	long	long	0.003550743828672129	-0.010987190464218411	0.01808867812156267
n = 2	k = 4	short	short	-0.02317545413970947	-0.04869599900782216	0.0023450907284032207
n = 2	k = 4	short	long	-0.06374114936590194	-0.09075731993625044	-0.03672497879555345
n = 2	k = 4	long	short	0.02371695137023926	-0.0034736477743907562	0.050907550514869275
n = 2	k = 4	long	long	0.08760913181304932	-0.12007411449549717	0.2952923781215958
n = 3	k = 4	short	short	0.03190693127119987	-0.012665850740092605	0.07647971328249234
n = 3	k = 4	short	long	0.14179928545691375	0.07247912145843306	0.21111944945539446
n = 3	k = 4	long	short	-0.2122653123681378	-0.2798013770421611	-0.14472924769411452
n = 3	k = 4	long	long	0.12680925506439844	-0.10967056364192238	0.3632890737707193
n = 4	k = 4	short	short	0.006084683610146364	-0.06573769432568398	0.0779070615459767
n = 4	k = 4	short	long	0.7329833321985147	0.6003622194703515	0.865604444926678
n = 4	k = 4	long	short	-0.5806037658461262	-0.7129269801975143	-0.448280551494738
n = 4	k = 4	long	long	0.2289031862616773	-0.04720485933064719	0.5050112318540018
n = 5	k = 4	short	short	0.019888034125367455	-0.016473984687233382	0.056250052937968295
n = 5	k = 4	short	long	1.5881385075136125	1.5141750275904358	1.6621019874367893
n = 5	k = 4	long	short	-1.6657011106744888	-1.7428388579427456	-1.588563363406232
n = 5	k = 4	long	long	0.012678004056209603	-0.24117819578366045	0.2665342038960797
n = 6	k = 4	short	short	0.0004156758777675833	-0.05241562848988817	0.05324698024542334
n = 6	k = 4	short	long	-0.5064641265086837	-0.5942205600256373	-0.41870769299173005
n = 6	k = 4	long	short	0.3795709868222477	0.2937388763933492	0.4654030972511462
n = 6	k = 4	long	long	-0.012101487755775452	-0.23844895162281318	0.21424597611126225
n = 7	k = 4	short	short	-0.03670417628887499	-0.12223702552875254	0.04882867295100255
n = 7	k = 4	short	long	0.7966833422740178	0.642197480284061	0.9511692042639747
n = 7	k = 4	long	short	-0.8326464539737244	-0.9890752296462737	-0.6762176783011751
n = 7	k = 4	long	long	-0.07769683709784488	-0.3965964268875742	0.24120275269188446
n = 8	k = 4	short	short	0.006088881110576367	-0.11212422555216817	0.12430198777332091
n = 8	k = 4	short	long	0.4523793679396167	0.3125180349986493	0.5922407008805841
n = 8	k = 4	long	short	-0.4720170407203986	-0.6099701225637852	-0.3340639588770119
n = 8	k = 4	long	long	0.09321775460860983	-0.1954798105866153	0.3819153198038349
